mature_accession	mature_name	mature_confidence	precursor_accession	precursor_name	precursor_confidence
MIMAT0004515	hsa-miR-29b-2-5p	high	MI0000107	hsa-mir-29b-2	high
MIMAT0000266	hsa-miR-205-5p	high	MI0000285	hsa-mir-205	high
MIMAT0009197	hsa-miR-205-3p	high	MI0000285	hsa-mir-205	high
MIMAT0016881	hsa-miR-4260	low	MI0015859	hsa-mir-4260	low
MIMAT0014984	hsa-miR-3122	low	MI0014138	hsa-mir-3122	low
MIMAT0000272	hsa-miR-215-5p	low	MI0000291	hsa-mir-215	low
MIMAT0026476	hsa-miR-215-3p	low	MI0000291	hsa-mir-215	low
MIMAT0000460	hsa-miR-194-5p	unknown	MI0000488	hsa-mir-194-1	low
MIMAT0005948	hsa-miR-664a-5p	high	MI0006442	hsa-mir-664a	high
MIMAT0005949	hsa-miR-664a-3p	high	MI0006442	hsa-mir-664a	high
MIMAT0005792	hsa-miR-320b	low	MI0003839	hsa-mir-320b-2	low
MIMAT0019872	hsa-miR-4742-5p	low	MI0017380	hsa-mir-4742	low
MIMAT0019873	hsa-miR-4742-3p	low	MI0017380	hsa-mir-4742	low
MIMAT0027383	hsa-miR-6741-5p	high	MI0022586	hsa-mir-6741	high
MIMAT0027384	hsa-miR-6741-3p	high	MI0022586	hsa-mir-6741	high
MIMAT0021039	hsa-miR-5008-5p	low	MI0017876	hsa-mir-5008	low
MIMAT0021040	hsa-miR-5008-3p	low	MI0017876	hsa-mir-5008	low
MIMAT0018001	hsa-miR-3620-3p	high	MI0016011	hsa-mir-3620	high
MIMAT0022967	hsa-miR-3620-5p	high	MI0016011	hsa-mir-3620	high
MIMAT0027385	hsa-miR-6742-5p	high	MI0022587	hsa-mir-6742	high
MIMAT0027386	hsa-miR-6742-3p	high	MI0022587	hsa-mir-6742	high
MIMAT0019741	hsa-miR-4666a-5p	low	MI0017296	hsa-mir-4666a	low
MIMAT0019742	hsa-miR-4666a-3p	low	MI0017296	hsa-mir-4666a	low
MIMAT0005827	hsa-miR-1182	low	MI0006275	hsa-mir-1182	low
MIMAT0018942	hsa-miR-4427	low	MI0016766	hsa-mir-4427	low
MIMAT0019752	hsa-miR-4671-5p	low	MI0017302	hsa-mir-4671	low
MIMAT0019753	hsa-miR-4671-3p	low	MI0017302	hsa-mir-4671	low
MIMAT0019890	hsa-miR-4753-5p	low	MI0017392	hsa-mir-4753	low
MIMAT0019891	hsa-miR-4753-3p	low	MI0017392	hsa-mir-4753	low
MIMAT0007399	hsa-miR-1537-3p	high	MI0007258	hsa-mir-1537	high
MIMAT0026765	hsa-miR-1537-5p	high	MI0007258	hsa-mir-1537	high
MIMAT0018943	hsa-miR-4428	low	MI0016767	hsa-mir-4428	low
MIMAT0014985	hsa-miR-3123	low	MI0014139	hsa-mir-3123	low
MIMAT0019760	hsa-miR-4677-5p	high	MI0017308	hsa-mir-4677	high
MIMAT0019761	hsa-miR-4677-3p	high	MI0017308	hsa-mir-4677	high
MIMAT0018190	hsa-miR-3916	low	MI0016422	hsa-mir-3916	low
MIMAT0014986	hsa-miR-3124-5p	low	MI0014140	hsa-mir-3124	low
MIMAT0019200	hsa-miR-3124-3p	low	MI0014140	hsa-mir-3124	low
MIMAT0022492	hsa-miR-5699-3p	low	MI0019306	hsa-mir-5699	low
MIMAT0027103	hsa-miR-5699-5p	low	MI0019306	hsa-mir-5699	low
MIMAT0023697	hsa-miR-6072	low	MI0020349	hsa-mir-6072	low
MIMAT0023703	hsa-miR-6078	low	MI0020355	hsa-mir-6078	low
MIMAT0015029	hsa-miR-3155a	low	MI0014183	hsa-mir-3155a	low
MIMAT0019012	hsa-miR-3155b	low	MI0016839	hsa-mir-3155b	low
MIMAT0019013	hsa-miR-548ak	low	MI0016840	hsa-mir-548ak	low
MIMAT0019014	hsa-miR-4480	low	MI0016841	hsa-mir-4480	low
MIMAT0019015	hsa-miR-4481	low	MI0016842	hsa-mir-4481	low
MIMAT0011163	hsa-miR-548q	low	MI0010637	hsa-mir-548q	low
MIMAT0016848	hsa-miR-4293	low	MI0015826	hsa-mir-4293	low
MIMAT0005918	hsa-miR-1265	low	MI0006401	hsa-mir-1265	low
MIMAT0002808	hsa-miR-511-5p	high	MI0003127	hsa-mir-511	high
MIMAT0026606	hsa-miR-511-3p	high	MI0003127	hsa-mir-511	high
MIMAT0019757	hsa-miR-4675	low	MI0017306	hsa-mir-4675	low
MIMAT0007891	hsa-miR-1915-5p	low	MI0008336	hsa-mir-1915	low
MIMAT0007892	hsa-miR-1915-3p	low	MI0008336	hsa-mir-1915	low
MIMAT0003271	hsa-miR-603	low	MI0003616	hsa-mir-603	low
MIMAT0031013	hsa-miR-8086	low	MI0025922	hsa-mir-8086	low
MIMAT0003272	hsa-miR-604	low	MI0003617	hsa-mir-604	low
MIMAT0004981	hsa-miR-938	low	MI0005760	hsa-mir-938	low
MIMAT0028234	hsa-miR-7162-5p	low	MI0023623	hsa-mir-7162	low
MIMAT0028235	hsa-miR-7162-3p	low	MI0023623	hsa-mir-7162	low
MIMAT0017988	hsa-miR-3611	low	MI0016001	hsa-mir-3611	low
MIMAT0019768	hsa-miR-4683	low	MI0017315	hsa-mir-4683	low
MIMAT0022259	hsa-miR-5100	low	MI0019116	hsa-mir-5100	low
MIMAT0015030	hsa-miR-3156-5p	low	MI0014184	hsa-mir-3156-1	low
MIMAT0019209	hsa-miR-3156-3p	low	MI0014184	hsa-mir-3156-1	low
MIMAT0016849	hsa-miR-4294	low	MI0015827	hsa-mir-4294	low
MIMAT0003273	hsa-miR-605-5p	high	MI0003618	hsa-mir-605	high
MIMAT0026621	hsa-miR-605-3p	high	MI0003618	hsa-mir-605	high
MIMAT0005895	hsa-miR-548f-3p	low	MI0006374	hsa-mir-548f-1	low
MIMAT0026739	hsa-miR-548f-5p	low	MI0006374	hsa-mir-548f-1	low
MIMAT0018199	hsa-miR-3924	low	MI0016432	hsa-mir-3924	low
MIMAT0005794	hsa-miR-1296-5p	high	MI0003780	hsa-mir-1296	high
MIMAT0026637	hsa-miR-1296-3p	high	MI0003780	hsa-mir-1296	high
MIMAT0028212	hsa-miR-7151-5p	low	MI0023611	hsa-mir-7151	low
MIMAT0028213	hsa-miR-7151-3p	low	MI0023611	hsa-mir-7151	low
MIMAT0028214	hsa-miR-7152-5p	low	MI0023612	hsa-mir-7152	low
MIMAT0028215	hsa-miR-7152-3p	low	MI0023612	hsa-mir-7152	low
MIMAT0019758	hsa-miR-4676-5p	high	MI0017307	hsa-mir-4676	high
MIMAT0019759	hsa-miR-4676-3p	high	MI0017307	hsa-mir-4676	high
MIMAT0003274	hsa-miR-606	low	MI0003619	hsa-mir-606	low
MIMAT0000773	hsa-miR-346	low	MI0000826	hsa-mir-346	low
MIMAT0019762	hsa-miR-4678	low	MI0017309	hsa-mir-4678	low
MIMAT0019763	hsa-miR-4679	low	MI0017311	hsa-mir-4679-2	low
MIMAT0019763	hsa-miR-4679	low	MI0017310	hsa-mir-4679-1	low
MIMAT0000104	hsa-miR-107	high	MI0000114	hsa-mir-107	high
MIMAT0015031	hsa-miR-3157-5p	high	MI0014185	hsa-mir-3157	high
MIMAT0019210	hsa-miR-3157-3p	high	MI0014185	hsa-mir-3157	high
MIMAT0003275	hsa-miR-607	low	MI0003620	hsa-mir-607	low
MIMAT0048635	hsa-miR-3085-5p	high	MI0039500	hsa-mir-3085	high
MIMAT0048636	hsa-miR-3085-3p	high	MI0039500	hsa-mir-3085	high
MIMAT0005878	hsa-miR-1287-5p	high	MI0006349	hsa-mir-1287	high
MIMAT0026738	hsa-miR-1287-3p	high	MI0006349	hsa-mir-1287	high
MIMAT0019771	hsa-miR-4685-5p	low	MI0017317	hsa-mir-4685	low
MIMAT0019772	hsa-miR-4685-3p	low	MI0017317	hsa-mir-4685	low
MIMAT0025470	hsa-miR-6507-5p	low	MI0022219	hsa-mir-6507	low
MIMAT0025471	hsa-miR-6507-3p	low	MI0022219	hsa-mir-6507	low
MIMAT0003276	hsa-miR-608	low	MI0003621	hsa-mir-608	low
MIMAT0015032	hsa-miR-3158-3p	high	MI0014186	hsa-mir-3158-1	high
MIMAT0019211	hsa-miR-3158-5p	high	MI0014186	hsa-mir-3158-1	high
MIMAT0015032	hsa-miR-3158-3p	high	MI0014187	hsa-mir-3158-2	high
MIMAT0019211	hsa-miR-3158-5p	high	MI0014187	hsa-mir-3158-2	high
MIMAT0002809	hsa-miR-146b-5p	high	MI0003129	hsa-mir-146b	high
MIMAT0004766	hsa-miR-146b-3p	high	MI0003129	hsa-mir-146b	high
MIMAT0005951	hsa-miR-1307-3p	high	MI0006444	hsa-mir-1307	high
MIMAT0022727	hsa-miR-1307-5p	high	MI0006444	hsa-mir-1307	high
MIMAT0004979	hsa-miR-936	low	MI0005758	hsa-mir-936	low
MIMAT0003277	hsa-miR-609	low	MI0003622	hsa-mir-609	low
MIMAT0020958	hsa-miR-4482-3p	low	MI0016843	hsa-mir-4482	low
MIMAT0019016	hsa-miR-4482-5p	low	MI0016843	hsa-mir-4482	low
MIMAT0019764	hsa-miR-4680-5p	low	MI0017312	hsa-mir-4680	low
MIMAT0019765	hsa-miR-4680-3p	low	MI0017312	hsa-mir-4680	low
MIMAT0005874	hsa-miR-548e-3p	high	MI0006344	hsa-mir-548e	high
MIMAT0026736	hsa-miR-548e-5p	high	MI0006344	hsa-mir-548e	high
MIMAT0025842	hsa-miR-6715b-5p	low	MI0022549	hsa-mir-6715b	low
